inbound_band,buffer_band,n,P_y_pct,P_yprop_pct
inbound early/on time,buffer <= 0,5881,98.16357762285325,61.62217309981296
inbound early/on time,buffer 0-30,12963,25.85821183368048,8.547404150273856
inbound early/on time,buffer 30-60,159394,8.363551953022071,0.20013300375170961
inbound early/on time,buffer 60-120,93774,9.511165141723717,0.14289675176488154
inbound early/on time,buffer >120,61003,10.568332704948936,1.7294231431241087
inbound 0-15 late,buffer <= 0,1523,87.65594221930401,56.40183847669075
inbound 0-15 late,buffer 0-30,3084,45.13618677042802,17.542153047989622
inbound 0-15 late,buffer 30-60,45599,25.351433145463716,2.0965372047632624
inbound 0-15 late,buffer 60-120,24553,15.366757626359304,0.4113550278988311
inbound 0-15 late,buffer >120,21623,10.535078388752716,1.2162974610368589
inbound 15-30 late,buffer <= 0,895,73.85474860335196,54.41340782122906
inbound 15-30 late,buffer 0-30,1264,91.53481012658227,56.09177215189873
inbound 15-30 late,buffer 30-60,19542,71.76849861836045,38.63473544161294
inbound 15-30 late,buffer 60-120,10766,35.99294073936466,9.39067434516069
inbound 15-30 late,buffer >120,12025,10.395010395010395,0.9812889812889812
inbound 30-60 late,buffer <= 0,958,60.125260960334025,42.79749478079332
inbound 30-60 late,buffer 0-30,1052,100.0,86.88212927756655
inbound 30-60 late,buffer 30-60,16300,98.03680981595092,81.26993865030676
inbound 30-60 late,buffer 60-120,9478,69.53998733910107,44.04937750580291
inbound 30-60 late,buffer >120,13327,10.662564718241164,0.8854205747730172
inbound >60 late,buffer <= 0,2893,37.57345316280677,19.52989975803664
inbound >60 late,buffer 0-30,981,99.59225280326199,87.46177370030581
inbound >60 late,buffer 30-60,15080,99.97347480106102,87.34084880636604
inbound >60 late,buffer 60-120,9070,96.60418963616317,83.25248070562293
inbound >60 late,buffer >120,21116,24.336995643114225,9.859821935972722
