setting,n,prevalence,auc,auprc,recall,precision,alert_rate,brier,ece
as published,128450,0.2808096535616972,0.8866119238271208,0.8507471958475391,0.6313279733850845,0.9321326238231682,0.1901907356948229,0.09238760786363723,0.015298168820955083
max_iter=100,128450,0.2808096535616972,0.8848547439359361,0.8485480215260229,0.6275298031605212,0.9301799950686283,0.1894433631763332,0.09335933475234155,0.0153355792636023
max_iter=500,128450,0.2808096535616972,0.8872058472757471,0.8516251985244465,0.6337399500970335,0.9311580919793067,0.19111716621253405,0.09198968026918829,0.015253525146252268
max_depth=3,128450,0.2808096535616972,0.883002710024823,0.8456260489181503,0.6227612974771278,0.9273035006605019,0.18858699883223043,0.09461311892128187,0.015535341044880009
max_depth=None,128450,0.2808096535616972,0.8866110481153501,0.850956994112094,0.6322705849736623,0.9324556382369776,0.19040871934604905,0.09228063307561096,0.015230744171253576
learning_rate=0.05,128450,0.2808096535616972,0.8854606063850852,0.8492774052830152,0.6295259218186859,0.9304622193083101,0.1899883223043986,0.09306385046013432,0.015281397944869012
seed=0,128450,0.2808096535616972,0.8866119238271208,0.8507471958475391,0.6313279733850845,0.9321326238231682,0.1901907356948229,0.09238760786363723,0.015298168820955083
seed=1,128450,0.2808096535616972,0.8868345823980253,0.8511123179075566,0.6322151372331577,0.9316120598088079,0.19056442195406773,0.09223088200803979,0.015182064367660156
seed=2,128450,0.2808096535616972,0.8868346305651738,0.8509463686061957,0.6315220404768506,0.9326864021618966,0.19013623978201635,0.0923451211084804,0.015421112315680488
seed=3,128450,0.2808096535616972,0.8867831814482592,0.8509302049143985,0.63224286110341,0.9316529128196748,0.19056442195406773,0.09232425346957134,0.015299516173233559
seed=4,128450,0.2808096535616972,0.8871318761905613,0.8512270266322571,0.6322705849736623,0.9315034922190908,0.1906033476060724,0.09230942099208951,0.015511025074896802
